R,5,17,7,24389
R,17,17,3,24353
R,2,12,2,4311
R,16,14,3,30188
R,2,1,4,24355
R,6,10,0,28572
R,6,4,15,5590
R,11,0,11,17557
R,0,0,16,12255
R,15,7,1,38944
R,12,15,2,16749
R,15,12,10,4389
R,13,0,2,35892
R,18,17,11,15537
R,19,7,14,23015
R,3,17,6,29169
R,4,12,16,2751
R,19,5,7,10165
R,0,11,6,18482
R,5,4,7,4718
R,10,2,5,29948
R,12,15,10,14319
R,3,14,11,2521
R,9,17,6,39854
R,16,16,15,15368
R,19,3,15,18180
R,13,5,13,9865
R,16,1,10,11625
R,18,13,1,32415
R,10,15,16,13496
R,14,8,2,33871
R,17,5,6,39985
R,12,8,1,18207
R,13,7,8,28081
R,4,0,5,28375
R,10,8,11,24251
R,16,15,9,1218
R,2,7,5,15474
R,9,17,19,11374
R,14,1,18,17052
R,1,8,5,39
R,3,7,18,160
R,8,16,11,26687
R,8,14,3,38536
R,1,7,6,21065
R,18,1,13,25727
R,4,5,5,19737
R,6,16,18,37588
R,10,9,19,6853
R,19,8,9,22517
R,18,17,14,12582
R,2,4,5,10164
R,8,14,19,6423
R,15,14,16,29637
R,1,9,9,19828
R,4,3,10,6717
R,16,14,9,15772
R,2,6,13,4052
R,9,0,8,3312
R,4,1,8,39011
R,5,2,10,10769
R,2,18,15,11687
R,3,0,2,34404
R,3,2,18,21883
R,2,7,17,13329
R,12,17,3,11553
R,9,4,10,12735
R,10,4,18,25722
R,9,17,9,36762
R,9,4,0,38600
R,7,10,17,33869
R,5,13,7,563
R,13,1,15,34760
R,9,16,1,18112
R,11,13,11,9274
R,16,0,6,22363
R,4,15,16,23639
R,13,5,9,10254
R,15,15,2,16466
R,12,8,15,29319
R,8,15,17,25892
R,17,4,9,37398
R,2,4,12,1091
R,2,6,13,26283
R,12,10,12,11883
R,18,2,9,38300
R,18,12,9,32152
R,17,6,0,19676
R,15,1,9,7817
R,12,17,2,32901
R,11,0,9,34110
R,12,14,17,13455
R,11,8,13,30523
R,19,4,12,37846
R,13,16,1,11842
R,16,9,9,34391
R,3,4,19,35100
R,14,3,8,31282
R,9,5,2,29841
R,13,19,7,33129
R,17,8,6,19946
R,2,2,2,19679
R,7,15,3,9397
R,9,15,2,538
R,19,10,5,9473
R,18,10,12,39745
R,8,19,14,30493
R,19,15,16,36575
R,13,10,9,4637
R,14,7,7,39197
R,9,18,10,30869
R,12,16,12,9355
R,0,13,17,7067
R,2,17,4,3863
R,1,3,18,36872
R,8,12,3,25363
R,3,7,3,24951
R,6,6,12,34931
R,14,4,19,25412
R,1,18,17,17484
R,13,1,15,28431
R,16,17,6,2134
R,19,16,1,17078
R,13,7,4,35499
R,12,10,11,35293
R,15,4,12,32837
R,14,5,18,34537
R,4,15,11,25795
R,18,4,17,25728
R,18,10,4,22884
R,11,18,4,38794
R,15,0,11,30153
R,15,11,15,34035
R,14,9,3,11127
R,2,5,6,15718
R,8,0,16,8786
R,8,0,4,10834
R,18,16,12,6947
R,8,2,15,19817
R,0,2,17,6483
R,0,11,0,21596
R,5,12,1,36397
R,6,13,8,31519
R,15,9,10,34271
R,6,16,11,18859
R,17,2,1,25400
R,6,15,1,20278
R,13,6,12,7403
R,16,5,13,37564
R,1,19,6,9227
R,4,12,0,4153
R,7,2,0,2700
R,1,1,16,32556
R,19,1,12,3080
R,10,1,11,25814
R,2,0,18,23799
R,6,13,11,11512
R,14,12,14,30261
R,6,10,13,9880
R,10,10,3,31359
R,0,5,16,2172
R,0,14,19,2677
R,19,4,17,14316
R,10,4,13,8986
R,3,11,2,23668
R,16,0,1,30351
R,0,12,12,4511
R,18,7,1,36315
R,15,6,15,11581
R,4,14,8,25445
R,18,1,10,22685
R,11,6,19,16311
R,18,8,5,19283
R,7,2,8,28349
R,4,1,1,19571
R,12,11,19,28419
R,15,12,16,27155
R,15,12,17,5179
R,10,15,11,2572
R,16,1,3,38068
R,16,7,9,27449
R,15,8,6,34851
R,17,5,3,375
R,4,6,6,25181
R,11,17,12,7523
R,13,18,4,9882
R,3,10,16,7070
R,12,18,14,33076
R,8,16,14,26316
R,15,8,3,12645
R,16,0,11,20431
R,6,2,5,14924
R,16,11,6,25104
R,13,13,12,25640
R,14,7,8,31927
R,1,9,18,8282
R,14,7,15,3693
R,1,15,19,10407
R,19,3,9,10337
R,6,13,0,31284
R,5,5,11,24895
R,17,17,13,28168
R,19,1,12,27578
R,9,14,13,27148
R,7,5,5,2178
R,7,17,2,29453
R,6,13,12,22990
R,0,16,3,10937
R,2,16,11,31380
R,19,14,0,7645
R,12,8,8,16651
R,5,5,13,21229
R,6,1,16,10607
R,7,9,4,31036
R,16,10,5,24253
R,16,7,14,34494
R,4,2,18,3634
R,4,0,3,26509
R,19,4,7,527
R,14,5,8,26657
R,16,19,3,18263
R,7,1,6,22102
R,5,6,4,9103
R,17,2,18,8617
R,18,5,3,22205
R,5,14,8,12411
R,0,2,2,4074
R,18,19,9,38412
R,3,12,11,38943
R,16,7,7,5248
R,18,10,0,17579
R,17,17,14,15069
R,9,12,11,25946
R,8,5,2,35083
R,10,5,16,3903
R,10,3,5,9490
R,6,19,4,6955
R,18,16,19,29022
R,6,1,10,10931
R,6,7,1,24638
R,8,8,13,11565
R,14,13,8,5536
R,13,9,7,31282
R,14,9,10,9623
R,15,4,5,32030
R,13,12,14,33237
R,13,4,5,267
R,14,5,9,1520
R,8,12,18,34073
R,19,13,9,15648
R,10,18,17,20329
R,9,16,2,23487
R,18,15,7,9820
R,9,10,0,38279
R,0,5,19,38936
R,3,15,5,5399
R,0,12,14,771
R,7,11,6,12782
R,12,9,10,19909
R,13,5,7,39406
R,7,5,2,31306
R,18,8,5,34970
R,11,14,6,34813
R,2,0,14,33047
R,8,4,0,22606
R,9,9,8,12910
R,15,5,19,30956
R,13,0,19,2952
R,11,13,1,5899
R,8,8,14,36528
R,8,2,6,33503
R,11,18,2,10324
R,17,5,10,17183
R,11,16,0,5124
R,4,11,12,32770
R,8,5,13,35505
R,6,4,1,10884
R,2,18,13,31087
R,2,6,8,19682
R,10,15,15,21938
R,18,10,17,7257
R,0,0,5,13012
R,19,17,5,2154
R,16,8,17,16077
R,3,12,1,10777
R,6,12,0,16313
R,18,5,4,18409
R,3,16,19,662
R,11,15,12,1953
R,15,8,6,18114
R,10,1,5,12361
R,3,16,3,38912
R,2,19,7,4909
R,10,13,2,25524
R,14,7,2,34584
R,14,5,4,3362
R,13,0,17,31578
R,5,6,1,36722
R,4,2,1,1219
R,6,2,4,1518
R,8,4,1,10341
R,11,4,3,39554
R,13,8,9,30612
R,10,1,13,37435
R,11,14,4,26921
R,19,0,10,11464
R,18,9,12,33786
R,17,2,2,3196
R,4,15,3,3940
R,18,14,19,20937
R,4,1,2,321
R,1,13,10,1349
R,18,8,3,19441
R,19,6,19,37992
R,2,0,11,30293
R,8,0,15,15756
R,18,5,10,38030
R,5,2,15,15723
R,14,13,8,37442
R,18,2,4,22884
R,17,3,16,11479
R,10,18,18,17526
R,3,13,18,3318
R,19,11,6,19203
R,11,9,18,20489
R,17,6,13,32206
R,4,4,4,2236
R,12,1,5,16765
R,13,13,12,14527
R,16,15,17,26135
R,6,16,1,257
R,18,17,15,38789
R,10,15,19,3126
R,14,4,15,1749
R,5,18,14,19026
R,8,17,19,36594
R,1,12,18,15756
R,1,16,14,15405
R,14,7,7,9499
R,17,0,6,3383
R,8,16,16,36283
R,4,1,0,25571
R,9,16,14,33641
R,7,16,9,2408
R,5,11,11,7202
R,13,2,12,37149
R,12,16,1,30120
R,12,16,16,10619
R,16,15,2,764
R,2,13,8,27422
R,17,1,3,23652
R,3,12,15,7940
R,6,11,18,8486
R,19,1,15,28555
R,15,10,6,17995
R,10,19,19,24311
R,18,0,0,20573
R,14,16,19,19369
R,0,13,9,2984
R,17,11,17,14568
